sample_id,dx_norm_mean,dx_norm_std,dy_norm_mean,dy_norm_std,fraction_dx_abs_001,fraction_dx_abs_002,fraction_dx_abs_005,fraction_dy_abs_001,fraction_dy_abs_002,fraction_dy_abs_005,abs_dx_diag_mae,abs_dy_diag_mae,sign_lost,status
sample_000048,0.21318407831087982,0.25671052256349014,0.17421729971007124,0.2296626767303998,0.21875,0.25892857142857145,0.3125,0.008928571428571428,0.17857142857142858,0.2767857142857143,2.774314209824941e-09,2.2430690408351096e-09,True,sign_lost_not_trajectory_reconstructable
sample_000049,0.040408889903879044,0.14968255389826873,0.17549616210917018,0.24224523894553823,0.21428571428571427,0.30357142857142855,0.45535714285714285,0.022321428571428572,0.08928571428571429,0.21428571428571427,1.1754105026695043e-09,2.236189878542678e-09,True,sign_lost_not_trajectory_reconstructable
sample_000050,0.21841587601470192,0.2356896424162613,0.04866977452391253,0.14220646149242985,0.30357142857142855,0.30357142857142855,0.38392857142857145,0.017857142857142856,0.3080357142857143,0.39285714285714285,2.470711884419003e-09,1.008656420467108e-09,True,sign_lost_not_trajectory_reconstructable
sample_000051,0.27347431851683,0.2542737949360594,0.023288071251276205,0.18268064374508286,0.17857142857142858,0.19642857142857142,0.27232142857142855,0.013392857142857142,0.21428571428571427,0.46875,3.4175317044601235e-09,1.1544499542407985e-09,True,sign_lost_not_trajectory_reconstructable
sample_000052,0.033247607282997485,0.09199949057840454,-0.07828436893811551,0.21332879882452363,0.7053571428571429,0.7366071428571429,0.8348214285714286,0.044642857142857144,0.6919642857142857,0.7276785714285714,3.661909591189341e-10,1.2452314343562036e-09,True,sign_lost_not_trajectory_reconstructable
sample_000053,0.045152801710717706,0.09750827234570235,-0.08435407671610189,0.20223071371329154,0.49107142857142855,0.5491071428571429,0.6741071428571429,0.017857142857142856,0.48214285714285715,0.5848214285714286,5.568954849733171e-10,1.3545389663025377e-09,True,sign_lost_not_trajectory_reconstructable
sample_000054,0.08738218074615697,0.17687843719694885,-0.11678712220762312,0.25461650423099064,0.29017857142857145,0.29464285714285715,0.3794642857142857,0.017857142857142856,0.32142857142857145,0.36607142857142855,1.3533631318086307e-09,2.1994317716970123e-09,True,sign_lost_not_trajectory_reconstructable
sample_000055,0.1128275063840418,0.23652974758632922,0.15457809273512182,0.17960914565110195,0.28125,0.36607142857142855,0.4642857142857143,0.0,0.22767857142857142,0.36160714285714285,1.7844537055876018e-09,1.7117677223438811e-09,True,sign_lost_not_trajectory_reconstructable
sample_000056,0.21994181701165005,0.2810277605982739,0.17603716913835069,0.22996494859149152,0.23660714285714285,0.2767857142857143,0.34375,0.013392857142857142,0.19196428571428573,0.3169642857142857,2.9663537801519896e-09,2.0480160712743948e-09,True,sign_lost_not_trajectory_reconstructable
sample_000057,-0.03289077584237883,0.22237986417556385,0.19939433285359587,0.22855636060507,0.1875,0.25892857142857145,0.39285714285714285,0.022321428571428572,0.09821428571428571,0.15625,1.5792421981516154e-09,2.528623316737896e-09,True,sign_lost_not_trajectory_reconstructable
