sample_id,abs_diag_mae_dx,abs_diag_max_error_dx,abs_diag_mae_dy,abs_diag_max_error_dy,positive_branch_mae_dx,positive_branch_max_error_dx,positive_branch_mae_dy,positive_branch_max_error_dy,oracle_signed_mae_dx,oracle_signed_max_error_dx,oracle_signed_mae_dy,oracle_signed_max_error_dy,fraction_negative_dx,fraction_negative_dy,fraction_positive_dx,fraction_positive_dy,sign_lost,strict_signed_diagonal_invertible,status
sample_002704,1.6419914012329947e-09,1.9046827448576664e-08,1.2165655325031693e-09,9.044707982575062e-09,0.2854404990917562,1.4791454539948792,0.2469807898291711,1.2541976974374105,1.6419914012329947e-09,1.9046827448576664e-08,1.2165655325031693e-09,9.044707982575062e-09,0.5669642857142857,0.6785714285714286,0.4330357142857143,0.32142857142857145,True,False,not_strictly_invertible_from_diagonal
sample_002705,2.6364296195457092e-09,1.7331085122584966e-08,1.539580447380443e-09,1.2211535560524567e-08,0.014879224874511708,0.5606743239084798,0.2084089441886772,1.5812527424043457,2.6364296195457092e-09,1.7331085122584966e-08,1.539580447380443e-09,1.2211535560524567e-08,0.04017857142857143,0.3392857142857143,0.9598214285714286,0.6607142857142857,True,False,not_strictly_invertible_from_diagonal
sample_002706,1.1389104580924954e-09,1.2891982148488523e-08,1.4246459150911135e-09,1.3453090419446312e-08,0.20526890838507877,1.3716029709903539,0.24630420500745606,1.3003358216633867,1.1389104580924954e-09,1.2891982148488523e-08,1.4246459150911135e-09,1.3453090419446312e-08,0.5223214285714286,0.59375,0.47767857142857145,0.40625,True,False,not_strictly_invertible_from_diagonal
sample_002707,5.354380618276181e-10,9.62552010319584e-09,6.623584147767874e-10,1.0598370403513968e-08,0.08058032494324867,0.9629414389762516,0.07434609891710506,1.3038399865518984,5.354380618276181e-10,9.62552010319584e-09,6.623584147767874e-10,1.0598370403513968e-08,0.36160714285714285,0.26785714285714285,0.6383928571428571,0.7321428571428571,True,False,not_strictly_invertible_from_diagonal
sample_002708,1.631172289928484e-09,1.1073441608111523e-08,1.2501823105860307e-09,1.2608848964923425e-08,0.041645474480001596,0.6333381729438621,0.06274377998655659,0.6789312259693986,1.631172289928484e-09,1.1073441608111523e-08,1.2501823105860307e-09,1.2608848964923425e-08,0.20089285714285715,0.1875,0.7991071428571429,0.8125,True,False,not_strictly_invertible_from_diagonal
sample_002709,3.084968127296291e-09,1.730986476378149e-08,1.7165664379911986e-09,1.8392876999229202e-08,0.048438248984198566,0.8879523369554028,0.061180726442253364,1.351146161771632,3.084968127296291e-09,1.730986476378149e-08,1.7165664379911986e-09,1.8392876999229202e-08,0.22321428571428573,0.10267857142857142,0.7767857142857143,0.8973214285714286,True,False,not_strictly_invertible_from_diagonal
sample_002710,1.5215798645000921e-09,1.2714148844850115e-08,2.0159245225281047e-09,1.9634826764480806e-08,0.21476062484418287,1.294288625427287,0.02093892942049689,0.45700102345384896,1.5215798645000921e-09,1.2714148844850115e-08,2.0159245225281047e-09,1.9634826764480806e-08,0.6785714285714286,0.21428571428571427,0.32142857142857145,0.7857142857142857,True,False,not_strictly_invertible_from_diagonal
sample_002711,3.5266866364230657e-10,4.012511378714834e-09,8.186271655069434e-10,1.0564511820909672e-08,0.029208275613879817,0.39848858776194124,0.07814357717907762,1.2577018497517305,3.5266866364230657e-10,4.012511378714834e-09,8.186271655069434e-10,1.0564511820909672e-08,0.26785714285714285,0.20089285714285715,0.7321428571428571,0.7991071428571429,True,False,not_strictly_invertible_from_diagonal
sample_002712,2.659218173180195e-09,1.4312173335362388e-08,1.0410387264315628e-09,7.230660237222963e-09,0.008543196038281846,0.40023252039597357,0.06067491675190676,0.9540078827403415,2.659218173180195e-09,1.4312173335362388e-08,1.0410387264315628e-09,7.230660237222963e-09,0.044642857142857144,0.16517857142857142,0.9553571428571429,0.8348214285714286,True,False,not_strictly_invertible_from_diagonal
sample_002713,5.191261637493982e-10,5.659551216563585e-09,8.081912540035721e-10,9.274915835355557e-09,0.06791215993639127,0.6501961938568803,0.1118281086259931,1.183530444697233,5.191261637493982e-10,5.659551216563585e-09,8.081912540035721e-10,9.274915835355557e-09,0.24107142857142858,0.3125,0.7589285714285714,0.6875,True,False,not_strictly_invertible_from_diagonal
sample_002714,1.977400750273438e-09,1.918864278582788e-08,1.8078655708307522e-09,1.3102560814104436e-08,0.10148805345981837,0.9751489658971374,0.03453450092725039,0.723317272219214,1.977400750273438e-09,1.918864278582788e-08,1.8078655708307522e-09,1.3102560814104436e-08,0.42857142857142855,0.07589285714285714,0.5714285714285714,0.9241071428571429,True,False,not_strictly_invertible_from_diagonal
sample_002715,4.965352846076154e-10,6.376774608352065e-09,8.230459320951985e-10,7.958985248635031e-09,0.08023257643308261,0.6676355173722138,0.11561646133813559,1.1257117907009884,4.965352846076154e-10,6.376774608352065e-09,8.230459320951985e-10,7.958985248635031e-09,0.3169642857142857,0.33035714285714285,0.6830357142857143,0.6696428571428571,True,False,not_strictly_invertible_from_diagonal
sample_002716,2.5263391266148202e-09,1.1592504289836825e-08,1.4451444542654276e-09,7.511024080475437e-09,0.002094278647916586,0.3891876138467769,0.15339569978145493,1.0673090974569621,2.5263391266148202e-09,1.1592504289836825e-08,1.4451444542654276e-09,7.511024080475437e-09,0.008928571428571428,0.2767857142857143,0.9910714285714286,0.7232142857142857,True,False,not_strictly_invertible_from_diagonal
sample_002717,5.241566647546893e-10,6.104000527251685e-09,8.554799329625071e-10,9.276307610939227e-09,0.059596041113317066,0.6717046930942722,0.11528925010027455,1.1093590365729384,5.241566647546893e-10,6.104000527251685e-09,8.554799329625071e-10,9.276307610939227e-09,0.26339285714285715,0.32589285714285715,0.7366071428571429,0.6741071428571429,True,False,not_strictly_invertible_from_diagonal
sample_002718,1.196806290198539e-09,1.2216023637101614e-08,1.46766440283239e-09,1.1635884922256423e-08,0.13399215291848843,1.1762825102210508,1.46766440283239e-09,1.1635884922256423e-08,1.196806290198539e-09,1.2216023637101614e-08,1.46766440283239e-09,1.1635884922256423e-08,0.36607142857142855,0.0,0.6339285714285714,1.0,True,False,not_strictly_invertible_from_diagonal
sample_002719,2.3545492859839854e-09,1.220422518599662e-08,9.318444235343136e-10,9.965113623167099e-09,0.48897715217639465,1.3919488429876012,0.122124189416843,1.3622426538895245,2.3545492859839854e-09,1.220422518599662e-08,9.318444235343136e-10,9.965113623167099e-09,0.7901785714285714,0.5535714285714286,0.20982142857142858,0.44642857142857145,True,False,not_strictly_invertible_from_diagonal
sample_002720,2.0661466210654212e-09,1.8488367059532607e-08,1.4733752085852985e-09,1.2809036387118056e-08,0.3483375546900212,1.6779537801837197,0.12991469103287637,1.2547817261347372,2.0661466210654212e-09,1.8488367059532607e-08,1.4733752085852985e-09,1.2809036387118056e-08,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,True,False,not_strictly_invertible_from_diagonal
sample_002721,2.5878188728050344e-09,1.3500859208370741e-08,1.3009129850021384e-09,1.4655482161174405e-08,0.05566700454057715,1.0280482522156071,0.03971904231633776,1.203971374806001,2.5878188728050344e-09,1.3500859208370741e-08,1.3009129850021384e-09,1.4655482161174405e-08,0.12946428571428573,0.0625,0.8705357142857143,0.9375,True,False,not_strictly_invertible_from_diagonal
sample_002722,2.351649256011188e-09,1.2976100305372995e-08,6.739990273825905e-10,7.420501324517659e-09,0.449799655253665,1.366371169818735,0.07970663110981344,1.323696883828303,2.351649256011188e-09,1.2976100305372995e-08,6.739990273825905e-10,7.420501324517659e-09,0.625,0.375,0.375,0.625,True,False,not_strictly_invertible_from_diagonal
sample_002723,2.512074839378856e-09,1.646848513114918e-08,1.7520509999275269e-09,1.928547033180905e-08,0.4245775112222505,1.7575933715934375,0.18386808383354894,1.4475105770352146,2.512074839378856e-09,1.646848513114918e-08,1.7520509999275269e-09,1.928547033180905e-08,0.6875,0.53125,0.3125,0.46875,True,False,not_strictly_invertible_from_diagonal
