sample_id,delta_consistency_mse,delta_consistency_max_error,delta_consistency_error,absolute_shape,delta_shape,status
sample_000154,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000155,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000156,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000157,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000158,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000159,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000160,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000161,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000162,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000163,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000164,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000165,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000166,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000167,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000168,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000169,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000170,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000171,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000172,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000173,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000174,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000175,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000176,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000177,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000178,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000179,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000180,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000181,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000182,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000183,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000184,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000185,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000186,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000187,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000188,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000189,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000190,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000191,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000192,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000193,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000194,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000195,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000196,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000197,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000198,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000199,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000200,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000201,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000202,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000203,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000204,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000205,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000206,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000207,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000208,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000209,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000210,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000211,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000212,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000213,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000214,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000215,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000216,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000217,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000218,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000219,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000220,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000221,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000222,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000223,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000224,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000225,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000226,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000227,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000228,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000229,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000230,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000231,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000232,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000233,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000234,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000235,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000236,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000237,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000238,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000239,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000240,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000241,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000242,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000243,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000244,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000245,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000246,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000247,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000248,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000249,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000250,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000251,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000252,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000253,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000254,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000255,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000256,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000257,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000258,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000259,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000260,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000261,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000262,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000263,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000264,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000265,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000266,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000267,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000268,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000269,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000270,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000271,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000272,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000273,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
sample_000274,0.0,0.0,0.0,"(224, 2)","(224, 2)",ok
